search_term,decision,recommended_action,campaign,ad_group,suggested_ad_group,clicks,impressions,cost,conversions,reason,client_prompt
trauma therapist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,PTSD Therapy - Near Me,Trauma Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
trauma therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,PTSD Therapy - Near Me,Trauma Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
trichotillomania therapist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
virtual therapist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
westside children's therapy chicago,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,3.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
westside children's therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,5.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
i need therapy,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,1.0,1.0,25.12,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
reunification therapy near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,1.0,24.0,23.71,0.0,Reunification therapy is not confirmed as a supported focus.,"Reply Focus, Keep, Exclude, or Geo."
marriage counselors near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,1.0,5.0,18.02,0.0,Marriage counseling is not confirmed as a supported focus.,"Reply Focus, Keep, Exclude, or Geo."
children psychiatrist near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,1.0,2.0,11.41,0.0,Psychiatry is not confirmed as a supported focus in this package.,"Reply Focus, Keep, Exclude, or Geo."
personal psychologist,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Psychology - Chicago,1.0,3.0,11.38,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
in person therapy for children,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,1.0,1.0,11.11,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
mental health practices near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,1.0,1.0,10.48,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
brain mapping near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,1.0,2.0,10.04,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
child psychiatrist near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Near Me,1.0,9.0,7.47,0.0,Psychiatry is not confirmed as a supported focus in this package.,"Reply Focus, Keep, Exclude, or Geo."
mental health near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,1.0,15.0,4.87,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
psych evaluation near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,2.0,7.0,4.74,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
the place for children with autism near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,2.0,15.0,3.98,0.0,Autism-center intent is outside the staged therapy focus.,"Reply Focus, Keep, Exclude, or Geo."
emily wilensky,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,1.0,2.0,3.6,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
children's mental health therapy,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,1.0,5.0,3.41,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
psychological assessment near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,1.0,5.0,2.84,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
a therapist,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
addiction psychiatrist near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.,"Reply Focus, Keep, Exclude, or Geo."
additude near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
adult psychological evaluation near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
anxiety clinic near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
arabic psychiatrist near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.,"Reply Focus, Keep, Exclude, or Geo."
autism care therapy chicago,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Child Therapy - Chicago,Therapy - Chicago,0.0,4.0,0.0,0.0,Autism-center intent is outside the staged therapy focus.,"Reply Focus, Keep, Exclude, or Geo."
autism care therapy near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,2.0,0.0,0.0,Autism-center intent is outside the staged therapy focus.,"Reply Focus, Keep, Exclude, or Geo."
autism therapy chicago,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Child Therapy - Chicago,Therapy - Chicago,0.0,1.0,0.0,0.0,Autism-center intent is outside the staged therapy focus.,"Reply Focus, Keep, Exclude, or Geo."
autism therapy near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,4.0,0.0,0.0,Autism-center intent is outside the staged therapy focus.,"Reply Focus, Keep, Exclude, or Geo."
bacp near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
bdi playhouse orland park,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
behavior therapist for kids,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
behavioral health care near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
behavioral psychiatrist near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.,"Reply Focus, Keep, Exclude, or Geo."
biofeedback near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
blossom therapy chicago,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Child Therapy - Chicago,Therapy - Chicago,0.0,5.0,0.0,0.0,Competitor or institution name with no conversion signal.,"Reply Focus, Keep, Exclude, or Geo."
cbt for fnd near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
cbti near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
certified addiction counselor near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Addiction counseling is not confirmed as a supported focus.,"Reply Focus, Keep, Exclude, or Geo."
child behavioral therapist,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
child psychologist,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Psychology - Chicago,0.0,36.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
child psychotherapist,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Therapy - Chicago,0.0,2.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
child therapist,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,9.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
child therapy,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,4.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
children psychologist,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,8.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
children therapist,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,2.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
children therapy,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,4.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
children therapy services,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
children's behavioral therapist,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
children's counselor,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,3.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
children's therapist,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,2.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
childrens psychiatrist near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.,"Reply Focus, Keep, Exclude, or Geo."
childrens therapy,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,5.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
clarity clinic near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,7.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
clinical child psychologist,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Psychology - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
clinician near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
cognitive solutions chicago,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,3.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
cognitive solutions lc,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
counselor near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,9.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
counselors near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,6.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
counselors office near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
cptsd therapist,Keep,Continue observing,TheraPPC - Regional,PTSD Therapy - Near Me,Trauma Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
cst academy chicago,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,2.0,0.0,0.0,Competitor or institution name with no conversion signal.,"Reply Focus, Keep, Exclude, or Geo."
cst academy gurnee,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Competitor or institution name with no conversion signal.,"Reply Focus, Keep, Exclude, or Geo."
depression doctor near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
emdr specialist,Keep,Continue observing,TheraPPC - Regional,EMDR Therapy - Near Me,EMDR Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
emdr therapist,Keep,Continue observing,TheraPPC - Regional,EMDR Therapy - Near Me,EMDR Therapy - Chicago,0.0,5.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
eyas landing avondale,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
eyas landing chicago,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,6.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
eyas landing west loop,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
female psychiatrist near me accepting new patients,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.,"Reply Focus, Keep, Exclude, or Geo."
female sex therapist near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Sex therapy is not confirmed as a supported focus.,"Reply Focus, Keep, Exclude, or Geo."
find a psychologist,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Psychology - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
find a therapist,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,2.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
geriatric psychologist near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Psychology - Chicago,0.0,1.0,0.0,0.0,Geriatric psychology is not confirmed as a supported focus.,"Reply Focus, Keep, Exclude, or Geo."
haley sims chicago,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
health anxiety near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
i need a therapist,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
ifc chicago,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
in person therapy,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,2.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
in2great buffalo grove,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
inexpensive psychiatrist near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.,"Reply Focus, Keep, Exclude, or Geo."
jungian analyst near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
kids mental health services,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,3.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
kids psychologist,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,5.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
kids therapist,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,2.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
kitsa antonopoulos,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
lcsw near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
leah songer,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
leep forward chicago,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,3.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
lgbt counselors near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
lifestance near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,3.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
light on anxiety near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
little steps ravenswood,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
little you therapy,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Chicago,Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
lmft near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,9.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
lmhc near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
local psychiatrist,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.,"Reply Focus, Keep, Exclude, or Geo."
local therapist,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
male marriage counselor near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,2.0,0.0,0.0,Marriage counseling is not confirmed as a supported focus.,"Reply Focus, Keep, Exclude, or Geo."
marriage counsellor near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,3.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
mental evaluation near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
mental health evaluation near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,10.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
mental health for uninsured near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
mental health offices near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,6.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
mental health service cerca de mi,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
mental health service near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,5.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
mental health services for children,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
mental health services near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,13.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
mental health therapist,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,4.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
mental help near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
mental psychologist,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Psychology - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
mental therapist,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,2.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
mezame chicago,Keep,Continue observing,TheraPPC - Regional,EMDR Therapy - Chicago,EMDR Therapy - Chicago,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
mid america psychological pc near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,4.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
muslim psychiatrist near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.,"Reply Focus, Keep, Exclude, or Geo."
narcissist treatment near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
nearest therapist,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,2.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
nearest therapy,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Service-fit query with low current volume.,"Reply Focus, Keep, Exclude, or Geo."
neuro psychologist near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Psychology - Chicago,0.0,1.0,0.0,0.0,Neuropsychology is not confirmed as a supported focus.,"Reply Focus, Keep, Exclude, or Geo."
neurotherapeutic pediatric therapies inc near me,Keep,Continue observing,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Near Me,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
nk psychological services,Keep,Continue observing,TheraPPC - Brand,Brand,Brand,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
open path collective near me,Keep,Continue observing,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, Exclude, or Geo."
outpatient psychiatrist near me,Exclude,Stage as negative phrase for review,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.,"Reply Focus, Keep, Exclude, or Geo."
